"","ligand","receptor","Ligand.receptor.pair","Source","PMID.support","Ligand.HGNC.ID","Ligand.location","Receptor.HGNC.ID","HGNC.L.R","secondary.source."
"1","A2M","LRP1","A2M LRP1","Ramilowski_2015_Literature_supported","1702392, 10652313, 12194978,","HGNC:7","secreted","HGNC:6692","HGNC:7 HGNC:6692",""
"2","AANAT","MTNR1A","AANAT MTNR1A","Ramilowski_2015_Literature_supported","12943195,","HGNC:19","secreted","HGNC:7463","HGNC:19 HGNC:7463",""
"3","AANAT","MTNR1B","AANAT MTNR1B","Ramilowski_2015_Literature_supported","12943195,","HGNC:19","secreted","HGNC:7464","HGNC:19 HGNC:7464",""
"4","ACE","BDKRB2","ACE BDKRB2","Ramilowski_2015_Literature_supported","10748135,","HGNC:2707","plasma membrane; secreted","HGNC:1030","HGNC:2707 HGNC:1030",""
"5","ADAM10","EPHA3","ADAM10 EPHA3","Ramilowski_2015_Literature_supported","16239146,","HGNC:188","plasma membrane","HGNC:3387","HGNC:188 HGNC:3387",""
"6","ADAM11","ITGA4","ADAM11 ITGA4","Hou et al. 2020 (this publication)","28913673,","HGNC:189","plasma membrane","HGNC:6140","HGNC:189 HGNC:6140",""
"7","ADAM12","ITGA9","ADAM12 ITGA9","Ramilowski_2015_Literature_supported","10944520,","HGNC:190","plasma membrane","HGNC:6145","HGNC:190 HGNC:6145",""
"8","ADAM12","ITGB1","ADAM12 ITGB1","Ramilowski_2015_Literature_supported","10944520,","HGNC:190","plasma membrane","HGNC:6153","HGNC:190 HGNC:6153",""
"9","ADAM12","SDC4","ADAM12 SDC4","Ramilowski_2015_Literature_supported","12509413,","HGNC:190","plasma membrane","HGNC:10661","HGNC:190 HGNC:10661",""
"10","ADAM15","ITGA5","ADAM15 ITGA5","Ramilowski_2015_Literature_supported","9914169, 9516430,","HGNC:193","plasma membrane","HGNC:6141","HGNC:193 HGNC:6141",""
"11","ADAM15","ITGA9","ADAM15 ITGA9","Ramilowski_2015_Literature_supported","10944520,","HGNC:193","plasma membrane","HGNC:6145","HGNC:193 HGNC:6145",""
"12","ADAM15","ITGAV","ADAM15 ITGAV","Ramilowski_2015_Literature_supported","9914169,","HGNC:193","plasma membrane","HGNC:6150","HGNC:193 HGNC:6150",""
"13","ADAM15","ITGB1","ADAM15 ITGB1","Ramilowski_2015_Literature_supported","9914169, 10944520,","HGNC:193","plasma membrane","HGNC:6153","HGNC:193 HGNC:6153",""
"14","ADAM15","ITGB3","ADAM15 ITGB3","Ramilowski_2015_Literature_supported","9516430,","HGNC:193","plasma membrane","HGNC:6156","HGNC:193 HGNC:6156",""
"15","ADAM17","ITGA5","ADAM17 ITGA5","Ramilowski_2015_Literature_supported","14970227,","HGNC:195","plasma membrane","HGNC:6141","HGNC:195 HGNC:6141",""
"16","ADAM17","ITGB1","ADAM17 ITGB1","Ramilowski_2015_Literature_supported","14970227,","HGNC:195","plasma membrane","HGNC:6153","HGNC:195 HGNC:6153",""
"17","ADAM17","NOTCH1","ADAM17 NOTCH1","Ramilowski_2015_Literature_supported","10882063, 9620803,","HGNC:195","plasma membrane","HGNC:7881","HGNC:195 HGNC:7881",""
"18","ADAM2","ITGA6","ADAM2 ITGA6","Ramilowski_2015_Literature_supported","9889149,","HGNC:198","plasma membrane","HGNC:6142","HGNC:198 HGNC:6142",""
"19","ADAM2","ITGA9","ADAM2 ITGA9","Ramilowski_2015_Literature_supported","21060781,","HGNC:198","plasma membrane","HGNC:6145","HGNC:198 HGNC:6145",""
"20","ADAM2","ITGB1","ADAM2 ITGB1","Ramilowski_2015_Literature_supported","9889149,","HGNC:198","plasma membrane","HGNC:6153","HGNC:198 HGNC:6153",""
"21","ADAM2","ITGB7","ADAM2 ITGB7","Ramilowski_2015_Literature_supported","21060781,","HGNC:198","plasma membrane","HGNC:6162","HGNC:198 HGNC:6162",""
"22","ADAM23","ITGA4","ADAM23 ITGA4","Hou et al. 2020 (this publication)","28913673,","HGNC:202","plasma membrane","HGNC:6140","HGNC:202 HGNC:6140",""
"23","ADAM23","ITGA5","ADAM23 ITGA5","Ramilowski_2015_Literature_supported","10749942,","HGNC:202","plasma membrane","HGNC:6141","HGNC:202 HGNC:6141",""
"24","ADAM23","ITGB3","ADAM23 ITGB3","Ramilowski_2015_Literature_supported","10749942,","HGNC:202","plasma membrane","HGNC:6156","HGNC:202 HGNC:6156",""
"25","ADAM28","ITGA4","ADAM28 ITGA4","Ramilowski_2015_Literature_supported","11724793,","HGNC:206","plasma membrane","HGNC:6140","HGNC:206 HGNC:6140",""
"26","ADAM29","ITGA4","ADAM29 ITGA4","Hou et al. 2020 (this publication)","28913673,","HGNC:207","plasma membrane","HGNC:6140","HGNC:207 HGNC:6140",""
"27","ADAM7","ITGA4","ADAM7 ITGA4","Hou et al. 2020 (this publication)","15504110,","HGNC:214","plasma membrane","HGNC:6140","HGNC:214 HGNC:6140",""
"28","ADAM7","ITGB7","ADAM7 ITGB7","Hou et al. 2020 (this publication)","15504110,","HGNC:214","plasma membrane","HGNC:6162","HGNC:214 HGNC:6162",""
"29","ADAM9","ITGA3","ADAM9 ITGA3","Ramilowski_2015_Literature_supported","15361064,","HGNC:216","plasma membrane","HGNC:6139","HGNC:216 HGNC:6139",""
"30","ADAM9","ITGA6","ADAM9 ITGA6","Ramilowski_2015_Literature_supported","10825303,15361064,","HGNC:216","plasma membrane","HGNC:6142","HGNC:216 HGNC:6142",""
"31","ADAM9","ITGAV","ADAM9 ITGAV","Ramilowski_2015_Literature_supported","11162558,15361064,","HGNC:216","plasma membrane","HGNC:6150","HGNC:216 HGNC:6150",""
"32","ADAM9","ITGB1","ADAM9 ITGB1","Ramilowski_2015_Literature_supported","10825303,","HGNC:216","plasma membrane","HGNC:6153","HGNC:216 HGNC:6153",""
"33","ADAM9","ITGB5","ADAM9 ITGB5","Ramilowski_2015_Literature_supported","11162558,","HGNC:216","plasma membrane","HGNC:6160","HGNC:216 HGNC:6160",""
"34","ADCYAP1","ADCYAP1R1","ADCYAP1 ADCYAP1R1","Ramilowski_2015_Literature_supported","10100920, 8703026,10583729, 16930633, 11931347,10583729, 8253796,","HGNC:241","secreted","HGNC:242","HGNC:241 HGNC:242","CellphoneDB"
"35","ADCYAP1","SCTR","ADCYAP1 SCTR","Ramilowski_2015_Literature_supported","1335692,","HGNC:241","secreted","HGNC:10608","HGNC:241 HGNC:10608","CellphoneDB"
"36","ADCYAP1","VIPR1","ADCYAP1 VIPR1","Ramilowski_2015_Literature_supported","11897681,9928018, 11931347, 16930633, 8791009,12429744,","HGNC:241","secreted","HGNC:12694","HGNC:241 HGNC:12694",""
"37","ADCYAP1","VIPR2","ADCYAP1 VIPR2","Ramilowski_2015_Literature_supported","16930633, 11978642, 9928018, 11931347,8146174,","HGNC:241","secreted","HGNC:12695","HGNC:241 HGNC:12695",""
