"","ligand","receptor"
"1","CRISP3","A1BG"
"2","A2M","LRP1"
"3","AANAT","MTNR1A"
"4","AANAT","MTNR1B"
"5","APOA1","ABCA1"
"6","APOE","ABCA1"
"7","LIN7C","ABCA1"
"8","MEGF10","ABCA1"
"9","PLTP","ABCA1"
"10","RIMS2","ABCA1"
"11","SHANK1","ABCA1"
"12","GHRL","ACE2"
"13","ACE2","SLC6A19"
"14","ACE","AGTR2"
"15","ACE","BDKRB2"
"16","CCL1","ACKR1"
"17","CCL11","ACKR1"
"18","CCL13","ACKR1"
"19","CCL14","ACKR1"
"20","CCL16","ACKR1"
"21","CCL17","ACKR1"
"22","CCL18","ACKR1"
"23","CCL2","ACKR1"
"24","CCL5","ACKR1"
"25","CCL7","ACKR1"
"26","CCL8","ACKR1"
"27","CXCL1","ACKR1"
"28","CXCL10","ACKR1"
"29","CXCL11","ACKR1"
"30","CXCL13","ACKR1"
"31","CXCL2","ACKR1"
"32","CXCL3","ACKR1"
"33","CXCL5","ACKR1"
"34","CXCL6","ACKR1"
"35","CXCL8","ACKR1"
"36","CXCL9","ACKR1"
"37","PF4","ACKR1"
"38","PPBP","ACKR1"
"39","CCL11","ACKR2"
"40","CCL13","ACKR2"
"41","CCL14","ACKR2"
"42","CCL17","ACKR2"
"43","CCL19","ACKR2"
"44","CCL2","ACKR2"
"45","CCL21","ACKR2"
"46","CCL22","ACKR2"
"47","CCL23","ACKR2"
"48","CCL24","ACKR2"
"49","CCL25","ACKR2"
"50","CCL26","ACKR2"
"51","CCL27","ACKR2"
"52","CCL28","ACKR2"
"53","CCL3","ACKR2"
"54","CCL3L1","ACKR2"
"55","CCL3L3","ACKR2"
"56","CCL4","ACKR2"
"57","CCL4L1","ACKR2"
"58","CCL5","ACKR2"
"59","CCL7","ACKR2"
"60","CCL8","ACKR2"
"61","CXCL11","ACKR3"
"62","CXCL12","ACKR3"
"63","MIF","ACKR3"
"64","TFF3","ACKR3"
"65","CCL1","ACKR4"
"66","CCL11","ACKR4"
"67","CCL13","ACKR4"
"68","CCL19","ACKR4"
"69","CCL2","ACKR4"
"70","CCL20","ACKR4"
"71","CCL21","ACKR4"
"72","CCL25","ACKR4"
"73","CCL5","ACKR4"
"74","CCL7","ACKR4"
"75","CCL8","ACKR4"
"76","CXCL13","ACKR4"
"77","BMP3","ACVR1B,ACVR2A"
"78","GDF1","ACVR1B,ACVR2A"
"79","GDF10","ACVR1B,ACVR2A"
"80","GDF11","ACVR1B,ACVR2A"
"81","GDF3","ACVR1B,ACVR2A"
"82","INHBA","ACVR1B,ACVR2A"
"83","INHBA,INHBB","ACVR1B,ACVR2A"
"84","INHBB","ACVR1B,ACVR2A"
"85","INHBC","ACVR1B,ACVR2A"
"86","INHBE","ACVR1B,ACVR2A"
"87","MSTN","ACVR1B,ACVR2A"
"88","NODAL","ACVR1B,ACVR2A"
"89","GDF1","ACVR1B,ACVR2B"
"90","GDF10","ACVR1B,ACVR2B"
"91","GDF11","ACVR1B,ACVR2B"
"92","GDF3","ACVR1B,ACVR2B"
"93","INHBA","ACVR1B,ACVR2B"
"94","INHBA,INHBB","ACVR1B,ACVR2B"
"95","INHBB","ACVR1B,ACVR2B"
"96","INHBC","ACVR1B,ACVR2B"
"97","INHBE","ACVR1B,ACVR2B"
"98","MSTN","ACVR1B,ACVR2B"
"99","NODAL","ACVR1B,ACVR2B"
"100","NODAL","ACVR1B,ACVR2B,TDGF1"
"101","GDF9","ACVR1B,BMPR2"
"102","CFC1","ACVR1B"
"103","INHA","ACVR1B"
"104","LEFTY1","ACVR1B"
"105","LEFTY2","ACVR1B"
"106","TGFB1","ACVR1B,TGFBR2"
"107","TGFB2","ACVR1B,TGFBR2"
"108","TGFB3","ACVR1B,TGFBR2"
"109","GDF1","ACVR1C,ACVR2A"
"110","GDF3","ACVR1C,ACVR2A"
"111","INHBA","ACVR1C,ACVR2A"
"112","INHBA,INHBB","ACVR1C,ACVR2A"
"113","INHBB","ACVR1C,ACVR2A"
"114","INHBC","ACVR1C,ACVR2A"
"115","INHBE","ACVR1C,ACVR2A"
"116","NODAL","ACVR1C,ACVR2A"
"117","GDF1","ACVR1C,ACVR2B"
"118","GDF3","ACVR1C,ACVR2B"
"119","INHBA","ACVR1C,ACVR2B"
"120","INHBA,INHBB","ACVR1C,ACVR2B"
"121","INHBB","ACVR1C,ACVR2B"
"122","INHBC","ACVR1C,ACVR2B"
"123","INHBE","ACVR1C,ACVR2B"
"124","NODAL","ACVR1C,ACVR2B"
"125","TDGF1","ACVR1C"
"126","TGFB1","ACVR1C,TGFBR2"
"127","TGFB2","ACVR1C,TGFBR2"
"128","TGFB3","ACVR1C,TGFBR2"
"129","BMP5","ACVR1,ACVR2A"
"130","BMP6","ACVR1,ACVR2A"
"131","BMP7","ACVR1,ACVR2A"
"132","BMP8A","ACVR1,ACVR2A"
"133","BMP8B","ACVR1,ACVR2A"
"134","INHBA","ACVR1,ACVR2A"
"135","INHBA,INHBB","ACVR1,ACVR2A"
"136","INHBB","ACVR1,ACVR2A"
"137","BMP5","ACVR1,ACVR2B"
"138","BMP6","ACVR1,ACVR2B"
"139","BMP7","ACVR1,ACVR2B"
"140","BMP8A","ACVR1,ACVR2B"
"141","BMP8B","ACVR1,ACVR2B"
"142","INHBA","ACVR1,ACVR2B"
"143","INHBA,INHBB","ACVR1,ACVR2B"
"144","INHBB","ACVR1,ACVR2B"
"145","AMH","AMHR2,ACVR1"
"146","BMP10","ACVR1"
"147","BMP15","ACVR1"
"148","BMP2","ACVR1"
"149","BMP3","ACVR1"
"150","BMP4","ACVR1"
"151","BMP5","ACVR1,BMPR2"
"152","BMP6","ACVR1,BMPR2"
"153","BMP7","ACVR1,BMPR2"
"154","BMP8A","ACVR1,BMPR2"
"155","BMP8B","ACVR1,BMPR2"
"156","GDF1","ACVR1"
"157","GDF2","ACVR1"
"158","GDF5","ACVR1"
"159","INHA","ACVR1"
"160","INHBC","ACVR1"
"161","INHBE","ACVR1"
"162","TGFB1","ACVR1,TGFBR1"
"163","TGFB1","TGFBR2,ACVR1"
"164","TGFB2","ACVR1,TGFBR1"
"165","TGFB2","TGFBR2,ACVR1"
"166","TGFB3","ACVR1,TGFBR1"
"167","TGFB3","TGFBR2,ACVR1"
"168","BMP10","ACVRL1,ACVR2A"
"169","GDF2","ACVRL1,ACVR2A"
"170","BMP15","ACVR2A"
"171","BMP2","BMPR1A,ACVR2A"
"172","BMP2","BMPR1B,ACVR2A"
"173","BMP4","BMPR1A,ACVR2A"
"174","BMP4","BMPR1B,ACVR2A"
"175","BMP5","BMPR1A,ACVR2A"
"176","BMP5","BMPR1B,ACVR2A"
"177","BMP6","BMPR1A,ACVR2A"
"178","BMP6","BMPR1B,ACVR2A"
"179","BMP7","BMPR1A,ACVR2A"
"180","BMP7","BMPR1B,ACVR2A"
"181","BMP8A","BMPR1A,ACVR2A"
"182","BMP8A","BMPR1B,ACVR2A"
"183","BMP8B","BMPR1A,ACVR2A"
"184","BMP8B","BMPR1B,ACVR2A"
"185","GDF5","BMPR1A,ACVR2A"
"186","GDF6","BMPR1A,ACVR2A"
"187","GDF7","BMPR1A,ACVR2A"
"188","GDF5","BMPR1B,ACVR2A"
"189","GDF6","BMPR1B,ACVR2A"
"190","GDF7","BMPR1B,ACVR2A"
"191","CFC1","ACVR2A"
"192","GDF11","TGFBR1,ACVR2A"
"193","GDF9","ACVR2A"
"194","INHA","ACVR2A"
"195","INHBC","ACVR2A"
"196","INHBE","ACVR2A"
"197","LEFTY1","ACVR2A"
"198","LEFTY2","ACVR2A"
"199","MSTN","TGFBR1,ACVR2A"
"200","TDGF1","ACVR2A"
"201","BMP10","ACVRL1,ACVR2B"
"202","GDF2","ACVRL1,ACVR2B"
"203","BMP15","ACVR2B"
"204","BMP2","BMPR1A,ACVR2B"
"205","BMP2","BMPR1B,ACVR2B"
"206","BMP3","ACVR2B"
"207","BMP4","BMPR1A,ACVR2B"
"208","BMP4","BMPR1B,ACVR2B"
"209","BMP5","BMPR1A,ACVR2B"
"210","BMP5","BMPR1B,ACVR2B"
"211","BMP6","BMPR1A,ACVR2B"
"212","BMP6","BMPR1B,ACVR2B"
"213","BMP7","BMPR1A,ACVR2B"
"214","BMP7","BMPR1B,ACVR2B"
"215","BMP8A","BMPR1A,ACVR2B"
"216","BMP8A","BMPR1B,ACVR2B"
"217","BMP8B","BMPR1A,ACVR2B"
"218","BMP8B","BMPR1B,ACVR2B"
"219","GDF5","BMPR1A,ACVR2B"
"220","GDF6","BMPR1A,ACVR2B"
"221","GDF7","BMPR1A,ACVR2B"
"222","GDF5","BMPR1B,ACVR2B"
"223","GDF6","BMPR1B,ACVR2B"
"224","GDF7","BMPR1B,ACVR2B"
"225","GDF11","TGFBR1,ACVR2B"
"226","INHA","ACVR2B"
"227","INHBC","ACVR2B"
"228","INHBE","ACVR2B"
"229","LEFTY1","ACVR2B"
"230","LEFTY2","ACVR2B"
"231","MSTN","TGFBR1,ACVR2B"
"232","BMP10","ACVRL1,BMPR2"
"233","GDF2","ACVRL1,BMPR2"
"234","TGFB1","ACVRL1"
