"","ligand","receptor"
"1","1700013F07Rik","Plscr4"
"2","9530003J23Rik","Itgal"
"3","A2m","Lrp1"
"4","Aanat","Mtnr1a"
"5","Aanat","Mtnr1b"
"6","Apoa1","Abca1"
"7","Apoe","Abca1"
"8","Lin7c","Abca1"
"9","Pltp","Abca1"
"10","Rims2","Abca1"
"11","Shank1","Abca1"
"12","Ghrl","Ace2"
"13","Ace","Agtr2"
"14","Ace","Bdkrb2"
"15","Ccl1","Ackr1"
"16","Ccl11","Ackr1"
"17","Ccl17","Ackr1"
"18","Ccl5","Ackr1"
"19","Ccl7","Ackr1"
"20","Ccl8","Ackr1"
"21","Cxcl1","Ackr1"
"22","Cxcl10","Ackr1"
"23","Cxcl11","Ackr1"
"24","Cxcl13","Ackr1"
"25","Cxcl2","Ackr1"
"26","Cxcl3","Ackr1"
"27","Cxcl5","Ackr1"
"28","Cxcl9","Ackr1"
"29","Ppbp","Ackr1"
"30","Ccl11","Ackr2"
"31","Ccl17","Ackr2"
"32","Ccl19","Ackr2"
"33","Ccl21a","Ackr2"
"34","Ccl21d","Ackr2"
"35","Ccl22","Ackr2"
"36","Ccl24","Ackr2"
"37","Ccl25","Ackr2"
"38","Ccl26","Ackr2"
"39","Ccl27a","Ackr2"
"40","Ccl27b","Ackr2"
"41","Ccl28","Ackr2"
"42","Ccl3","Ackr2"
"43","Ccl4","Ackr2"
"44","Ccl5","Ackr2"
"45","Ccl7","Ackr2"
"46","Ccl8","Ackr2"
"47","Ccl9","Ackr2"
"48","Cxcl11","Ackr3"
"49","Cxcl12","Ackr3"
"50","Mif","Ackr3"
"51","Ccl1","Ackr4"
"52","Ccl11","Ackr4"
"53","Ccl19","Ackr4"
"54","Ccl20","Ackr4"
"55","Ccl21a","Ackr4"
"56","Ccl21b","Ackr4"
"57","Ccl21c","Ackr4"
"58","Ccl21d","Ackr4"
"59","Ccl25","Ackr4"
"60","Ccl5","Ackr4"
"61","Ccl7","Ackr4"
"62","Ccl8","Ackr4"
"63","Cxcl13","Ackr4"
"64","Bmp5","Acvr1,Acvr2a"
"65","Bmp6","Acvr1,Acvr2a"
"66","Bmp7","Acvr1,Acvr2a"
"67","Bmp8a","Acvr1,Acvr2a"
"68","Bmp8b","Acvr1,Acvr2a"
"69","Inhba","Acvr1,Acvr2a"
"70","Inhba,Inhbb","Acvr1,Acvr2a"
"71","Inhbb","Acvr1,Acvr2a"
"72","Bmp5","Acvr1,Acvr2b"
"73","Bmp6","Acvr1,Acvr2b"
"74","Bmp7","Acvr1,Acvr2b"
"75","Bmp8a","Acvr1,Acvr2b"
"76","Bmp8b","Acvr1,Acvr2b"
"77","Inhba","Acvr1,Acvr2b"
"78","Inhba,Inhbb","Acvr1,Acvr2b"
"79","Inhbb","Acvr1,Acvr2b"
"80","Amh","Amhr2,Acvr1"
"81","Bmp10","Acvr1"
"82","Bmp15","Acvr1"
"83","Bmp2","Acvr1"
"84","Bmp3","Acvr1"
"85","Bmp4","Acvr1"
"86","Bmp5","Acvr1,Bmpr2"
"87","Bmp6","Acvr1,Bmpr2"
"88","Bmp7","Acvr1,Bmpr2"
"89","Bmp8a","Acvr1,Bmpr2"
"90","Bmp8b","Acvr1,Bmpr2"
"91","Gdf1","Acvr1"
"92","Gdf10","Acvr1"
"93","Gdf2","Acvr1"
"94","Gdf5","Acvr1"
"95","Inha","Acvr1"
"96","Inhbc","Acvr1"
"97","Inhbe","Acvr1"
"98","Lefty1","Acvr1"
"99","Tgfb1","Acvr1,Tgfbr1"
"100","Tgfb1","Tgfbr2,Acvr1"
"101","Tgfb2","Acvr1,Tgfbr1"
"102","Tgfb2","Tgfbr2,Acvr1"
"103","Tgfb3","Acvr1,Tgfbr1"
"104","Tgfb3","Tgfbr2,Acvr1"
"105","Bmp3","Acvr1b,Acvr2a"
"106","Gdf1","Acvr1b,Acvr2a"
"107","Gdf10","Acvr1b,Acvr2a"
"108","Gdf11","Acvr1b,Acvr2a"
"109","Gdf3","Acvr1b,Acvr2a"
"110","Inhba","Acvr1b,Acvr2a"
"111","Inhba,Inhbb","Acvr1b,Acvr2a"
"112","Inhbb","Acvr1b,Acvr2a"
"113","Inhbc","Acvr1b,Acvr2a"
"114","Inhbe","Acvr1b,Acvr2a"
"115","Mstn","Acvr1b,Acvr2a"
"116","Nodal","Acvr1b,Acvr2a"
"117","Gdf1","Acvr1b,Acvr2b"
"118","Gdf10","Acvr1b,Acvr2b"
"119","Gdf11","Acvr1b,Acvr2b"
"120","Gdf3","Acvr1b,Acvr2b"
"121","Inhba","Acvr1b,Acvr2b"
"122","Inhba,Inhbb","Acvr1b,Acvr2b"
"123","Inhbb","Acvr1b,Acvr2b"
"124","Inhbc","Acvr1b,Acvr2b"
"125","Inhbe","Acvr1b,Acvr2b"
"126","Mstn","Acvr1b,Acvr2b"
"127","Nodal","Acvr1b,Acvr2b"
"128","Nodal","Acvr1b,Acvr2b,Tdgf1"
"129","Bmp15","Acvr1b"
"130","Gdf9","Acvr1b,Bmpr2"
"131","Inha","Acvr1b"
"132","Lefty1","Acvr1b"
"133","Lefty2","Acvr1b"
"134","Tgfb1","Acvr1b,Tgfbr2"
"135","Tgfb2","Acvr1b,Tgfbr2"
"136","Tgfb3","Acvr1b,Tgfbr2"
"137","Gdf1","Acvr1c,Acvr2a"
"138","Gdf3","Acvr1c,Acvr2a"
"139","Inhba","Acvr1c,Acvr2a"
"140","Inhba,Inhbb","Acvr1c,Acvr2a"
"141","Inhbb","Acvr1c,Acvr2a"
"142","Inhbc","Acvr1c,Acvr2a"
"143","Inhbe","Acvr1c,Acvr2a"
"144","Nodal","Acvr1c,Acvr2a"
"145","Gdf1","Acvr1c,Acvr2b"
"146","Gdf3","Acvr1c,Acvr2b"
"147","Inhba","Acvr1c,Acvr2b"
"148","Inhba,Inhbb","Acvr1c,Acvr2b"
