"","ligand","receptor","pair","ligand_gene_id","receptor_gene_id"
"1","A2m","Lrp1","A2M_LRP1","ENSMUSG00000030111","ENSMUSG00000040249"
"2","Aanat","Mtnr1a","AANAT_MTNR1A","ENSMUSG00000020804","ENSMUSG00000054764"
"3","Ace","Agtr2","ACE_AGTR2","ENSMUSG00000020681","ENSMUSG00000068122"
"4","Ace","Bdkrb2","ACE_BDKRB2","ENSMUSG00000020681","ENSMUSG00000021070"
"5","Adam10","Axl","ADAM10_AXL","ENSMUSG00000054693","ENSMUSG00000002602"
"6","Adam10","Epha3","ADAM10_EPHA3","ENSMUSG00000054693","ENSMUSG00000052504"
"7","Adam12","Itga9","ADAM12_ITGA9","ENSMUSG00000054555","ENSMUSG00000039115"
"8","Adam12","Itgb1","ADAM12_ITGB1","ENSMUSG00000054555","ENSMUSG00000025809"
"9","Adam12","Sdc4","ADAM12_SDC4","ENSMUSG00000054555","ENSMUSG00000017009"
"10","Adam15","Itga5","ADAM15_ITGA5","ENSMUSG00000028041","ENSMUSG00000000555"
"11","Adam15","Itga9","ADAM15_ITGA9","ENSMUSG00000028041","ENSMUSG00000039115"
"12","Adam15","Itgav","ADAM15_ITGAV","ENSMUSG00000028041","ENSMUSG00000027087"
"13","Adam15","Itgb1","ADAM15_ITGB1","ENSMUSG00000028041","ENSMUSG00000025809"
"14","Adam15","Itgb3","ADAM15_ITGB3","ENSMUSG00000028041","ENSMUSG00000020689"
"15","Adam17","Erbb4","ADAM17_ERBB4","ENSMUSG00000052593","ENSMUSG00000062209"
"16","Adam17","Itga5","ADAM17_ITGA5","ENSMUSG00000052593","ENSMUSG00000000555"
"17","Adam17","Itgb1","ADAM17_ITGB1","ENSMUSG00000052593","ENSMUSG00000025809"
"18","Adam17","Notch1","ADAM17_NOTCH1","ENSMUSG00000052593","ENSMUSG00000026923"
"19","Adam2","Cd9","ADAM2_CD9","ENSMUSG00000022039","ENSMUSG00000030342"
"20","Adam2","Itga6","ADAM2_ITGA6","ENSMUSG00000022039","ENSMUSG00000027111"
"21","Adam2","Itga9","ADAM2_ITGA9","ENSMUSG00000022039","ENSMUSG00000039115"
"22","Adam2","Itgb1","ADAM2_ITGB1","ENSMUSG00000022039","ENSMUSG00000025809"
"23","Adam2","Itgb7","ADAM2_ITGB7","ENSMUSG00000022039","ENSMUSG00000001281"
