"","receptor","tf"
"1","PKM","ENO1"
"2","ALDOA","ENO1"
"3","GPI","ENO1"
"4","MINPP1","ENO1"
"5","NPR2","NME2"
"6","PKM","NME2"
"7","NME3","NME2"
"8","NME1","NME2"
"9","NPR1","NME2"
"10","GUCY2C","NME2"
"11","PNP","NME2"
"12","GUCY2D","NME2"
"13","ENTPD5","NME2"
"14","NUDT9","NME2"
"15","GUCY2F","NME2"
"16","ENPP1","NME2"
"17","ENTPD1","NME2"
"18","ENPP3","NME2"
"19","ENTPD2","NME2"
"20","PDE1C","NME2"
"21","PDE1B","NME2"
"22","PDE1A","NME2"
"23","ADCY8","NME2"
"24","NT5E","NME2"
"25","ADCY1","NME2"
"26","ADCY7","NME2"
"27","ADCY9","NME2"
"28","IL4I1","DNMT1"
"29","IL4I1","DNMT3A"
"30","MINPP1","PTEN"
"31","INPP5K","PTEN"
"32","PIK3CB","PTEN"
"33","NAMPT","SIRT1"
"34","NAMPT","SIRT2"
"35","NAMPT","SIRT3"
"36","BST1","SIRT1"
"37","BST1","SIRT2"
"38","BST1","SIRT3"
"39","PNP","SIRT1"
"40","PNP","SIRT2"
"41","PNP","SIRT3"
"42","ENPP1","SIRT1"
"43","ENPP1","SIRT2"
"44","ENPP1","SIRT3"
"45","ENPP3","SIRT1"
"46","ENPP3","SIRT2"
"47","ENPP3","SIRT3"
"48","NT5E","SIRT1"
"49","NT5E","SIRT2"
"50","NT5E","SIRT3"
"51","CD38","SIRT1"
"52","CD38","SIRT2"
"53","CD38","SIRT3"
"54","GGH","PCBD1"
"55","ALPL","PCBD1"
"56","ALPP","PCBD1"
"57","ALPI","PCBD1"
"58","CES1","NME2"
"59","PLA2G3","PTEN"
"60","PLA2G3","DNMT1"
"61","PLA2G3","DNMT3A"
"62","PLA2G3","ENO1"
"63","PLA2G3","PCBD1"
"64","PLA2G3","SIRT1"
"65","PLA2G3","SIRT2"
"66","PLA2G3","SIRT3"
"67","PLA2G3","NME2"
"68","PTGDS","PTEN"
"69","PTGDS","DNMT1"
"70","PTGDS","DNMT3A"
"71","PTGDS","ENO1"
"72","PTGDS","PCBD1"
"73","PTGDS","SIRT1"
"74","PTGDS","SIRT2"
"75","PTGDS","SIRT3"
"76","PTGDS","NME2"
"77","PLA2G1B","PTEN"
"78","PLA2G1B","DNMT1"
"79","PLA2G1B","DNMT3A"
"80","PLA2G1B","ENO1"
"81","PLA2G1B","PCBD1"
