"","receptor","tf"
"1","Kmt2a","Prdm16"
"2","Kmt2d","Prdm16"
"3","Setd2","Prdm16"
"4","Prdm2","Prdm16"
"5","Smyd2","Prdm16"
"6","Suv39h1","Prdm16"
"7","Nt5e","Sirt1"
"8","Nt5e","Sirt5"
"9","Nt5e","Sirt2"
"10","Dhfr","Pcbd1"
"11","Dhfr","Pcbd2"
"12","Alox5","Sirt1"
"13","Alox5","Dnmt1"
"14","Alox5","Dnmt3a"
"15","Alox5","Dnmt3b"
"16","Alox5","Sirt5"
"17","Alox5","Pcbd1"
"18","Alox5","Pcbd2"
"19","Alox5","Sirt2"
"20","Pld2","Sirt1"
"21","Pld2","Dnmt1"
"22","Pld2","Dnmt3a"
"23","Pld2","Dnmt3b"
"24","Pld2","Sirt5"
"25","Pld2","Pcbd1"
"26","Pld2","Pcbd2"
"27","Pld2","Sirt2"
"28","Adcy8","Sirt1"
"29","Adcy8","Dnmt1"
"30","Adcy8","Dnmt3a"
"31","Adcy8","Dnmt3b"
"32","Adcy8","Sirt5"
"33","Adcy8","Pcbd1"
"34","Adcy8","Pcbd2"
"35","Adcy8","Sirt2"
"36","Pde1a","Sirt1"
"37","Pde1a","Dnmt1"
"38","Pde1a","Dnmt3a"
"39","Pde1a","Dnmt3b"
"40","Pde1a","Sirt5"
"41","Pde1a","Pcbd1"
"42","Pde1a","Pcbd2"
"43","Pde1a","Sirt2"
"44","Pde1b","Sirt1"
"45","Pde1b","Dnmt1"
"46","Pde1b","Dnmt3a"
"47","Pde1b","Dnmt3b"
"48","Pde1b","Sirt5"
"49","Pde1b","Pcbd1"
"50","Pde1b","Pcbd2"
"51","Pde1b","Sirt2"
"52","Pde1c","Sirt1"
"53","Pde1c","Dnmt1"
"54","Pde1c","Dnmt3a"
"55","Pde1c","Dnmt3b"
"56","Pde1c","Sirt5"
"57","Pde1c","Pcbd1"
"58","Pde1c","Pcbd2"
"59","Pde1c","Sirt2"
"60","Nt5e","Dnmt1"
"61","Nt5e","Dnmt3a"
"62","Nt5e","Dnmt3b"
"63","Nt5e","Pcbd1"
"64","Nt5e","Pcbd2"
"65","Adcy1","Sirt1"
"66","Adcy1","Dnmt1"
"67","Adcy1","Dnmt3a"
"68","Adcy1","Dnmt3b"
"69","Adcy1","Sirt5"
"70","Adcy1","Pcbd1"
"71","Adcy1","Pcbd2"
"72","Adcy1","Sirt2"
"73","Adcy7","Sirt1"
"74","Adcy7","Dnmt1"
"75","Adcy7","Dnmt3a"
"76","Adcy7","Dnmt3b"
"77","Adcy7","Sirt5"
"78","Adcy7","Pcbd1"
"79","Adcy7","Pcbd2"
"80","Adcy7","Sirt2"
"81","Adcy9","Sirt1"
"82","Adcy9","Dnmt1"
"83","Adcy9","Dnmt3a"
"84","Adcy9","Dnmt3b"
"85","Adcy9","Sirt5"
"86","Adcy9","Pcbd1"
"87","Adcy9","Pcbd2"
"88","Adcy9","Sirt2"
"89","Gucy2c","Sirt1"
"90","Gucy2c","Dnmt1"
"91","Gucy2c","Dnmt3a"
"92","Gucy2c","Dnmt3b"
"93","Gucy2c","Sirt5"
"94","Gucy2c","Pcbd1"
"95","Gucy2c","Pcbd2"
"96","Gucy2c","Sirt2"
"97","Gucy2d","Sirt1"
"98","Gucy2d","Dnmt1"
"99","Gucy2d","Dnmt3a"
"100","Gucy2d","Dnmt3b"
"101","Gucy2d","Sirt5"
"102","Gucy2d","Pcbd1"
"103","Gucy2d","Pcbd2"
"104","Gucy2d","Sirt2"
"105","Npr1","Sirt1"
"106","Npr1","Dnmt1"
"107","Npr1","Dnmt3a"
"108","Npr1","Dnmt3b"
"109","Npr1","Sirt5"
"110","Npr1","Pcbd1"
"111","Npr1","Pcbd2"
"112","Npr1","Sirt2"
"113","Npr2","Sirt1"
"114","Npr2","Dnmt1"
"115","Npr2","Dnmt3a"
"116","Npr2","Dnmt3b"
"117","Npr2","Sirt5"
"118","Npr2","Pcbd1"
"119","Npr2","Pcbd2"
"120","Npr2","Sirt2"
"121","Kmt2a","Ash1l"
"122","Kmt2a","Dot1l"
"123","Kmt2a","Ehmt1"
"124","Kmt2a","Ehmt2"
"125","Kmt2a","Ezh1"
"126","Kmt2a","Ezh2"
"127","Kmt2a","Smyd1"
"128","Kmt2a","Nsd1"
"129","Kmt2a","Suv39h2"
"130","Kmt2d","Ash1l"
"131","Kmt2d","Dot1l"
"132","Kmt2d","Ehmt1"
"133","Kmt2d","Ehmt2"
"134","Kmt2d","Ezh1"
"135","Kmt2d","Ezh2"
"136","Kmt2d","Smyd1"
"137","Kmt2d","Nsd1"
"138","Kmt2d","Suv39h2"
"139","Aldh2","Sirt1"
"140","Aldh2","Dnmt1"
"141","Aldh2","Dnmt3a"
"142","Aldh2","Dnmt3b"
