"","source","target"
"1","AATF","BAX"
"2","AATF","CDKN1A"
"3","AATF","KLK3"
"4","AATF","MYC"
"5","AATF","TP53"
"6","ABL1","BAX"
"7","ABL1","BCL2"
"8","ABL1","BCL6"
"9","ABL1","CCND2"
"10","ABL1","CDKN1A"
"11","ABL1","CSF1"
"12","ABL1","FOXO3"
"13","ABL1","JUN"
"14","ABL1","PIM1"
"15","ABL1","TP53"
"16","AES","EPHA3"
"17","AES","LEF1"
"18","AES","RND3"
"19","AHR","ABCG2"
"20","AHR","AHRR"
"21","AHR","ARNT"
"22","AHR","BRCA1"
"23","AHR","CA9"
"24","AHR","CCND1"
"25","AHR","CCNG2"
"26","AHR","CYP1A1"
"27","AHR","CYP1A2"
"28","AHR","CYP1B1"
"29","AHR","CYP2B6"
"30","AHR","FOS"
"31","AHR","IL13"
"32","AHR","IL1B"
"33","AHR","IL6"
"34","AHR","MFSD2A"
"35","AHR","MT2A"
"36","AHR","MYC"
"37","AHR","PCNA"
"38","AHR","RFC3"
"39","AHR","UGT1A1"
"40","AHR","UGT1A6"
"41","AIP","AHR"
"42","AIP","GREB1"
"43","AIP","NFKB2"
"44","AIP","RSF1"
"45","AIP","TFF1"
"46","AIRE","CHRNA1"
"47","ANKRD1","NPPA"
"48","APBB1","GMPS"
"49","APC","AKT1"
"50","APC","AMHR2"
"51","APC","BIRC5"
"52","APC","DLG1"
"53","APC","DNMT1"
"54","APC","F8"
"55","APC","KLF4"
"56","APC","MYC"
"57","APC","NOS2"
"58","APC","ODC1"
"59","APC","PTGS2"
"60","APC","SGK1"
"61","APEX1","CCL2"
"62","APEX1","CD19"
"63","APEX1","CYP11B2"
"64","APEX1","NFKB1"
"65","APEX1","PTH"
"66","APEX1","RELA"
"67","APEX1","SLC5A5"
"68","AR","ACTA1"
"69","AR","AKR1C3"
"70","AR","AKT1"
"71","AR","ALDH1A3"
"72","AR","ARG1"
"73","AR","ARG2"
"74","AR","ATAD2"
"75","AR","BSG"
"76","AR","BTG1"
"77","AR","BTG2"
"78","AR","CDK20"
"79","AR","CDC6"
"80","AR","CDH1"
"81","AR","CDH11"
"82","AR","CDH2"
"83","AR","CDK6"
"84","AR","CDKN1A"
"85","AR","CLK3"
"86","AR","CRH"
"87","AR","CRISP1"
"88","AR","CRISP3"
"89","AR","CTNNB1"
"90","AR","CYP7B1"
"91","AR","EGFR"
"92","AR","ELK4"
"93","AR","EP300"
"94","AR","ERBB2"
"95","AR","ERBB3"
"96","AR","ETV1"
"97","AR","FKBP4"
"98","AR","FN1"
"99","AR","FOLH1"
"100","AR","FOXA1"
"101","AR","GNMT"
"102","AR","GREB1"
"103","AR","GTF2F1"
"104","AR","HMMR"
"105","AR","HMOX1"
"106","AR","IFI16"
"107","AR","IGF1R"
"108","AR","IGFBP3"
"109","AR","JUN"
"110","AR","KISS1"
"111","AR","KISS1R"
"112","AR","KLF5"
"113","AR","KLK1"
"114","AR","KLK2"
"115","AR","KLK3"
"116","AR","KLK4"
"117","AR","MED1"
"118","AR","MID1"
"119","AR","MUC1"
"120","AR","MYC"
"121","AR","NAT1"
"122","AR","NDRG1"
"123","AR","NFKB1"
"124","AR","NKX3-1"
"125","AR","NOV"
"126","AR","NRAS"
"127","AR","PC"
"128","AR","PSCA"
"129","AR","PEBP1"
"130","AR","PIGR"
"131","AR","PIP"
"132","AR","PMEPA1"
"133","AR","PNRC1"
"134","AR","PTEN"
"135","AR","PTGS2"
"136","AR","PTPN1"
"137","AR","RELA"
"138","AR","REST"
"139","AR","SEPT7"
"140","AR","SERPINB5"
"141","AR","SESN1"
"142","AR","SRD5A3"
"143","AR","STIM1"
"144","AR","TBP"
"145","AR","TCF7L2"
"146","AR","TGFA"
"147","AR","TH"
"148","AR","TJP1"
"149","AR","TMPRSS2"
"150","AR","TRPS1"
"151","AR","TSC1"
"152","AR","TSC2"
"153","AR","UCN"
"154","AR","UGT2B15"
"155","AR","USP26"
"156","AR","VEGFA"
"157","AR","VIM"
"158","AR","WEE1"
"159","AR","WNT7B"
"160","AR","XIAP"
"161","ARID1A","CDKN1A"
"162","ARID1A","IGH"
"163","ARID1A","SMAD3"
"164","ARID1B","IGH"
"165","ARID3A","CDC6"
"166","ARID3A","CDK1"
