"","source","target"
"1","Aatf","Bak1"
"2","Aatf","Bax"
"3","Aatf","Bbc3"
"4","Aatf","Cdkn1a"
"5","Aatf","Tpt1"
"6","Aatf","Trp53"
"7","Abl1","Trp53"
"8","Abl1","Trp73"
"9","Aebp2","Jarid2"
"10","Aebp2","Snai2"
"11","Aes","Ihh"
"12","Ahr","Abcc4"
"13","Ahr","Apaf1"
"14","Ahr","Cyp19a1"
"15","Ahr","Cyp1a1"
"16","Ahr","Cyp1a2"
"17","Ahr","Cyp1b1"
"18","Ahr","E2f2"
"19","Ahr","Gata4"
"20","Ahr","Gsta1"
"21","Ahr","Il17a"
"22","Ahr","Il6"
"23","Ahr","Lhb"
"24","Ahr","Nkx2-5"
"25","Ahr","Nqo1"
"26","Ahr","Pla2g4a"
"27","Ahr","Ptgs2"
"28","Ahr","Serpinb2"
"29","Ahr","Sim1"
"30","Ahr","Smoc2"
"31","Ahr","Snai2"
"32","Ahr","Ugt1a6a"
"33","Ahr","Vav3"
"34","Aire","Bmp2"
"35","Aire","F11"
"36","Alx4","Fgf10"
"37","Ankrd1","Myl2"
"38","Ankrd1","Nppa"
"39","Apbb1","Lrp1"
"40","Apbb1","Notch1"
"41","Apc","Ctnnb1"
"42","Apc","Myc"
"43","Apc","Spp1"
"44","Apc","Tcf4"
"45","Apc","Trp53"
"46","Apex1","Apod"
"47","Apex1","Blk"
"48","Apex1","Ccl12"
"49","Apex1","Nfkb1"
"50","Apex1","Pax5"
"51","Apex1","Ptgs2"
"52","Apex1","Rela"
"53","Apex1","Tlr4"
"54","Ar","Ccr2"
"55","Ar","Cga"
"56","Ar","Fkbp5"
"57","Ar","Foxa1"
"58","Ar","Klkb1"
"59","Ar","Nkx3-1"
"60","Ar","Nr0b1"
"61","Ar","Psat1"
"62","Ar","Runx2"
"63","Ar","Scnn1a"
"64","Ar","Sox2"
"65","Ar","Tnf"
"66","Ar","rsl"
"67","Arid3a","Cr2"
"68","Arid3a","Igh"
"69","Arid3b","Igh"
"70","Arid5b","Sox9"
"71","Arl6ip5","Parp1"
"72","Arl6ip5","Xrcc1"
"73","Arnt","Atxn3"
"74","Arnt","Cyp1a1"
"75","Arnt","Cyp1a2"
"76","Arnt","Cyp1b1"
"77","Arnt","E2f2"
"78","Arnt","Sim1"
"79","Arnt","Th"
