"","source","target","mor"
"1","Myc","Tert",1
"2","Spi1","Bglap2",1
"3","Spi1","Bglap",1
"4","Spi1","Bglap3",1
"5","Smad3","Jun",1
"6","Smad4","Jun",1
"7","Stat5a","Il2",1
"8","Stat5b","Il2",1
"9","Rela","Fas",1
"10","F6Y2T6","Nr0b1",1
"11","Nr0b2","Casp1",1
"12","A0A979HLR9","Aldoa",1
"13","Mtf1","Mcat",1
"14","Tp53","E9QNX9",-1
"15","Q3UQ17","Ccna2",-1
"16","A0A087WR05","A0A0R4J0A2",1
"17","A0A087WSP5","Cdkn1a",1
"18","Tp53","A0A0R4J1Z5",1
"19","A2A5C3","Ggt1",1
"20","Creb1","Hmgcs2",1
"21","Foxa2","Gcg",1
"22","Nfatc2","Gcg",1
"23","Cebpb","Pck1",1
"24","Fos","Abcb1a",1
"25","Rela","Abcb1a",1
"26","Plag1","Plag1",1
"27","Tp53","Cdkn1a",1
"28","Tp53","Rb1",-1
"29","E2f1","Cdkn1a",1
"30","A0A1Y7VML1","Cdkn1a",1
"31","E9Q1A8","Cdkn1a",-1
"32","Yy1","Nr3c1",1
"33","Esr1","A0A2I3BPL3",1
"34","Jun","A0A2I3BPL3",1
"35","Nr1i3","E9Q593",1
"36","Nr1i3","Q9WUD0",1
"37","Nr1i3","Cyp2b19",1
"38","Cebpg","G3X9D9",1
"39","Mafk","A8DUK4",1
"40","Nfe2l3","A8DUK4",1
"41","Tp53","Acta1",1
"42","Tp53","Bcl2",-1
"43","Phox2a","Dbh",1
"44","Q3V157","Il12b",1
"45","Q3V157","Ifna13",1
"46","Q3V157","B1AYH7",1
"47","Q3V157","Ifna9",1
"48","Q3V157","Q810G2",1
"49","Q3V157","Ifna1",1
"50","Q3V157","Q61718",1
"51","Q3V157","L7MTU6",1
"52","Q3V157","Q810G3",1
"53","Q3V157","Ifna11",1
"54","Q3V157","Ifna12",1
"55","Q3V157","Q810G5",1
"56","Q3V157","Ifna4",1
"57","Q3V157","Q1WWN2",1
"58","Q3V157","Q810G6",1
"59","Q3V157","Irf1",1
"60","Irf1","Irf1",1
"61","Atf2","Il6",1
"62","F6Y2T6","Odc1",1
"63","Nr2c2","Ccnd1",1
"64","Irf3","Ifna13",1
"65","Irf3","B1AYH7",1
"66","Irf3","Ifna9",1
"67","Irf3","Q810G2",1
"68","Irf3","Ifna1",1
"69","Irf3","Q61718",1
"70","Irf3","L7MTU6",1
"71","Nfya","Vldlr",1
"72","Irf3","Q810G3",1
"73","Irf3","Ifna11",1
"74","Irf3","Ifna12",1
"75","Irf3","Q810G5",1
"76","Cebpg","Vldlr",1
"77","Irf3","Ifna4",1
"78","Irf3","Q1WWN2",1
"79","Irf3","Q810G6",1
"80","Fos","Fos",-1
"81","Tp53","Mdm2",1
"82","Nfic","F8VPR5",1
"83","Stat5a","Igf1",1
"84","Ets1","Timp1",1
"85","A2A5C3","Timp1",1
"86","Cebpb","A2ANQ2",1
"87","Arnt","Cyp1b1",1
"88","Znf148","Cdkn1a",1
"89","Q3U5D9","Cyp1b1",1
"90","Tp53","Ccnb1",-1
"91","Pax6","B7ZCD3",1
"92","Carf","F8VPR5",1
"93","Stat5a","Ccnd1",1
